field;value
CUMUN;08015
NMUN;Badia del Vallès
NMUN;Barberà del Vallès
NMUN;Barcelona
NMUN;Begues
NMUN;Castellbisbal
NMUN;Castelldefels
NMUN;Cerdanyola del Vallès
NMUN;Cervelló
NMUN;Corbera de Llobregat
NMUN;Cornellà de Llobregat
NMUN;Papiol, El
NMUN;Prat de Llobregat, El
NMUN;Esplugues de Llobregat
NMUN;Gavà
NMUN;Hospitalet de Llobregat, L'
NMUN;Palma de Cervelló, La
NMUN;Molins de Rei
NMUN;Montcada i Reixac
NMUN;Montgat
NMUN;Pallejà
NMUN;Ripollet
NMUN;Sant Adrià de Besòs
NMUN;Sant Andreu de la Barca
NMUN;Sant Boi de Llobregat
NMUN;Sant Climent de Llobregat
NMUN;Sant Cugat del Vallès
NMUN;Sant Feliu de Llobregat
NMUN;Sant Joan Despí
NMUN;Sant Just Desvern
NMUN;Sant Vicenç dels Horts
NMUN;Santa Coloma de Cervelló
NMUN;Santa Coloma de Gramenet
NMUN;Tiana
NMUN;Torrelles de Llobregat
NMUN;Viladecans