field;value
NMUN;Abarán
NMUN;Adra
CUMUN;35002
NMUN;Albacete
NMUN;Alberic
NMUN;Alcalá de Henares
NMUN;Alcobendas
NMUN;Alcorcón
NMUN;Alcoi/Alcoy
NMUN;Algeciras
NMUN;Algemesí
NMUN;Alhama de Murcia
NMUN;Alacant/Alicante
NMUN;Almería
NMUN;Almuñécar
NMUN;Alzira
NMUN;Ames
NMUN;Añora
NMUN;Aranda de Duero
NMUN;Aranjuez
NMUN;Arganda del Rey
NMUN;Ávila
NMUN;Badajoz
NMUN;Barcelona
NMUN;Baza
NMUN;Benalmádena
NMUN;Benidorm
NMUN;Bilbao
NMUN;Burgos
NMUN;Cabanas
NMUN;Cáceres
NMUN;Calahorra
NMUN;Calonge i Sant Antoni
NMUN;Calp
NMUN;Cambrils
NMUN;Canet d'En Berenguer
NMUN;Carbajosa de la Sagrada
NMUN;Cartagena
NMUN;Castelldefels
NMUN;Castelló de la Plana/Castellón de la Plana
NMUN;Ceutí
NMUN;Chiclana de la Frontera
NMUN;Cieza
NMUN;Ciudad Real
NMUN;Collado Villalba
NMUN;Comillas
NMUN;Córdoba
NMUN;Coria del Río
NMUN;Cortes de Arenoso
NMUN;Coruña, A
NMUN;Cuenca
NMUN;Cuevas del Almanzora
NMUN;Diputación Provincial de Badajoz
NMUN;Diputación Provincial de Cáceres
NMUN;Diputación Provincial de Cádiz
NMUN;Diputación Provincial de Castellón
NMUN;Diputación Provincial de Palencia
NMUN;Diputación Provincial de Valencia
NMUN;Donostia/San Sebastián
NMUN;Écija
NMUN;Elx/Elche
NMUN;Ermua
NMUN;Esplugues de Llobregat
NMUN;Estepona
NMUN;Fuengirola
NMUN;Fuensalida
NMUN;Galapagar
NMUN;Gandia
NMUN;Getafe
NMUN;Gijón
NMUN;Granada
NMUN;Guadalajara
NMUN;Hospitalet de Llobregat, L'
NMUN;Huelva
NMUN;Huércal-Overa
NMUN;Huesca
NMUN;Jaén
NMUN;Jerez de la Frontera
NMUN;Carolina, La
NMUN;Nucia, la
NMUN;Puebla de Cazalla, La
NMUN;Vila Joiosa, la/Villajoyosa
NMUN;Lalín
NMUN;Navas del Marqués, Las
NMUN;Eliana, l'
NMUN;León
NMUN;Logroño
NMUN;Lorca
NMUN;Lorquí
NMUN;Lugo
NMUN;Madrid
NMUN;Maó
NMUN;Majadahonda
NMUN;Málaga
NMUN;Manacor
NMUN;Manises
NMUN;Marbella
NMUN;Martos
NMUN;Mataró
NMUN;Mérida
NMUN;Molina de Segura
NMUN;Montilla
NMUN;Móstoles
NMUN;Motril
NMUN;Murcia
NMUN;Onda
NMUN;Orihuela
NMUN;Oviedo
NMUN;Palencia
NMUN;Palma
NMUN;Palmas de Gran Canaria, Las
NMUN;Pamplona/Iruña
NMUN;Paterna
NMUN;Pilas
NMUN;Pinto
NMUN;Plasencia
NMUN;Ponferrada
NMUN;Pozuelo de Alarcón
NMUN;Prat de Llobregat, El
NMUN;Puerto de Santa María, El
NMUN;Puerto Lumbreras
NMUN;Ribeira
NMUN;Rivas-Vaciamadrid
NMUN;Roquetas de Mar
NMUN;Rota
NMUN;Rozas de Madrid, Las
NMUN;Rubí
NMUN;Salamanca
NMUN;San Bartolomé de Tirajana
NMUN;San Cristóbal de La Laguna
NMUN;San Esteban de Gormaz
NMUN;San Javier
NMUN;San Roque
NMUN;Sant Boi de Llobregat
NMUN;Sant Cugat del Vallès
NMUN;Sant Feliu de Llobregat
NMUN;Santa Cruz de Tenerife
NMUN;Santa Marta de Tormes
NMUN;Santander
NMUN;Santiago de Compostela
NMUN;Santillana del Mar
NMUN;Segovia
NMUN;Sevilla
NMUN;Silla
NMUN;Talavera de la Reina
NMUN;Tarragona
NMUN;Terrassa
NMUN;Toledo
NMUN;Torrejón de Ardoz
NMUN;Torrent
NMUN;Torrijos
NMUN;Úbeda
NMUN;València
NMUN;Valladolid
NMUN;Vera
NMUN;Vigo
NMUN;Viladecans
NMUN;Villafranca de Córdoba
NMUN;Villanueva de la Serena
NMUN;Villanueva del Pardillo
NMUN;Vinaròs
NMUN;Vitoria-Gasteiz
NMUN;Zaragoza